Voltage Across 100ohm +	Vert leads 1-2 +	Vert leads 3-4 +	Horz leads 1-3 +	Horz leads 2-4 +	Thermo Voltage +	Temperature +	Voltage Across 100ohm -	Vert leads 1-2 -	Vert leads 3-4 -	Horz leads 1-3 -	Horz leads 2-4 -	Thermo Voltage -	Temperature -
-4.054526E-1	-3.087447E-2	-4.413428E-2	-1.539977E-1	-5.387746E-3	1.409395E-1	8.589769E+1	-4.054512E-1	-3.096281E-2	-4.433019E-2	-1.552264E-1	-5.378777E-3	1.420463E-1	8.640829E+1
-4.055298E-1	-3.278106E-2	-4.847750E-2	-1.811978E-1	-5.185235E-3	1.656350E-1	9.699916E+1	-4.054991E-1	2.250293E-2	3.851049E-3	-1.858228E-1	-5.171110E-3	1.672834E-1	9.774252E+1
-4.054596E-1	-3.367550E-2	-5.034846E-2	-1.931049E-1	-5.123441E-3	1.765145E-1	1.002241E+2	-4.054495E-1	2.272277E-2	2.881423E-3	-1.964199E-1	-5.116607E-3	1.766677E-1	1.005765E+2
-4.055063E-1	-3.427330E-2	-5.187605E-2	-2.026799E-1	-5.064024E-3	1.851611E-1	1.032610E+2	-4.055308E-1	2.282382E-2	2.113136E-3	-2.059788E-1	-5.056156E-3	1.853581E-1	1.036586E+2
-4.055425E-1	-3.470776E-2	-5.272974E-2	-2.082049E-1	-5.032423E-3	1.902669E-1	1.048518E+2	-4.055147E-1	2.295283E-2	1.596986E-3	-2.115823E-1	-5.024022E-3	1.903144E-1	1.052720E+2
-4.054761E-1	-3.584845E-2	-5.538910E-2	-2.253601E-1	-4.942501E-3	2.058903E-1	1.092916E+2	-4.054728E-1	2.321064E-2	1.363376E-4	-2.283739E-1	-4.939130E-3	2.053695E-1	1.094556E+2
-4.056374E-1	-3.688170E-2	-5.798556E-2	-2.421747E-1	-4.848367E-3	2.211463E-1	1.138102E+2	-4.056410E-1	2.347967E-2	-1.357081E-3	-2.452989E-1	-4.845624E-3	2.205256E-1	1.139400E+2
-4.054339E-1	-3.822738E-2	-6.150939E-2	-2.655268E-1	-4.730069E-3	2.422962E-1	1.193178E+2	-4.054278E-1	2.385117E-2	-3.514217E-3	-2.688703E-1	-4.727026E-3	2.415690E-1	1.194571E+2
-4.055150E-1	-3.913807E-2	-6.411832E-2	-2.830255E-1	-4.638853E-3	2.581233E-1	1.234454E+2	-4.055335E-1	2.416313E-2	-5.163937E-3	-2.865808E-1	-4.636386E-3	2.573391E-1	1.235557E+2
-4.055282E-1	-3.991678E-2	-6.653948E-2	-2.994714E-1	-4.566676E-3	2.729223E-1	1.266436E+2	-4.055100E-1	2.445134E-2	-6.728232E-3	-3.031234E-1	-4.564264E-3	2.720154E-1	1.267495E+2
-4.055025E-1	-4.103599E-2	-7.046477E-2	-3.265916E-1	-4.446550E-3	2.972433E-1	1.318432E+2	-4.054862E-1	2.497940E-2	-9.415604E-3	-3.305779E-1	-4.443694E-3	2.962597E-1	1.319651E+2
-4.054736E-1	-4.236675E-2	-7.573043E-2	-3.635326E-1	-4.292765E-3	3.302284E-1	1.382939E+2	-4.054725E-1	2.564962E-2	-1.316277E-2	-3.677675E-1	-4.289544E-3	3.290148E-1	1.384267E+2
-4.054752E-1	-4.323948E-2	-7.911163E-2	-3.879142E-1	-4.185162E-3	3.520969E-1	1.426822E+2	-4.054594E-1	2.600548E-2	-1.572615E-2	-3.925792E-1	-4.182802E-3	3.509119E-1	1.427774E+2
-4.053398E-1	-4.447316E-2	-8.370338E-2	-4.216996E-1	-4.048359E-3	3.825375E-1	1.481260E+2	-4.053683E-1	2.644121E-2	-1.934926E-2	-4.266942E-1	-4.045756E-3	3.809681E-1	1.482281E+2
-4.053701E-1	-4.481960E-2	-8.517334E-2	-4.325355E-1	-3.991141E-3	3.922631E-1	1.503607E+2	-4.053877E-1	2.653879E-2	-2.053677E-2	-4.377953E-1	-3.987831E-3	3.908243E-1	1.504893E+2
-4.053452E-1	-4.559526E-2	-8.840333E-2	-4.565208E-1	-3.892653E-3	4.138193E-1	1.541529E+2	-4.053366E-1	2.672916E-2	-2.319579E-2	-4.623528E-1	-3.889484E-3	4.125346E-1	1.542738E+2
-4.053504E-1	-4.629445E-2	-9.100372E-2	-4.762246E-1	-3.804780E-3	4.316455E-1	1.574810E+2	-4.053465E-1	2.682466E-2	-2.538280E-2	-4.824598E-1	-3.800483E-3	4.303783E-1	1.576424E+2
-4.053173E-1	-4.779783E-2	-9.672973E-2	-5.203746E-1	-3.637643E-3	4.715874E-1	1.636770E+2	-4.053160E-1	2.695097E-2	-3.040485E-2	-5.275134E-1	-3.632769E-3	4.703028E-1	1.638552E+2
-4.053189E-1	-4.919301E-2	-1.027630E-1	-5.673535E-1	-3.465311E-3	5.139198E-1	1.698959E+2	-4.053339E-1	2.698687E-2	-3.572150E-2	-5.745763E-1	-3.461940E-3	5.120119E-1	1.700160E+2
-4.053107E-1	-5.010420E-2	-1.059508E-1	-5.930052E-1	-3.372459E-3	5.372699E-1	1.731808E+2	-4.053016E-1	2.680172E-2	-3.859233E-2	-6.003574E-1	-3.367760E-3	5.350893E-1	1.733459E+2
-4.054371E-1	-5.086087E-2	-1.088712E-1	-6.165952E-1	-3.287596E-3	5.596840E-1	1.761451E+2	-4.054618E-1	2.691943E-2	-4.140288E-2	-6.243069E-1	-3.285172E-3	5.561054E-1	1.762293E+2
-4.052724E-1	-5.179427E-2	-1.126902E-1	-6.477583E-1	-3.179503E-3	5.869774E-1	1.798710E+2	-4.052648E-1	2.679432E-2	-4.506474E-2	-6.559676E-1	-3.176794E-3	5.842087E-1	1.799637E+2
-4.052612E-1	2.679009E-2	-4.510198E-2	-6.562906E-1	-3.175816E-3	5.845212E-1	1.799971E+2	-4.053522E-1	-5.232806E-2	-1.149794E-1	-6.666379E-1	-3.111441E-3	6.040885E-1	1.821895E+2
-4.053629E-1	-5.251973E-2	-1.157783E-1	-6.732478E-1	-3.092421E-3	6.100857E-1	1.828338E+2	-4.053212E-1	2.669648E-2	-4.806372E-2	-6.818610E-1	-3.088962E-3	6.071914E-1	1.829507E+2
-4.053220E-1	-5.308838E-2	-1.182954E-1	-6.940112E-1	-3.018307E-3	6.289109E-1	1.853292E+2	-4.053243E-1	2.648846E-2	-5.046118E-2	-7.031689E-1	-3.014442E-3	6.263135E-1	1.854587E+2
-4.052976E-1	-5.338406E-2	-1.200307E-1	-7.083905E-1	-2.964545E-3	6.418590E-1	1.871248E+2	-4.053208E-1	2.655468E-2	-5.219245E-2	-7.173801E-1	-2.962170E-3	6.387402E-1	1.872038E+2
-4.052947E-1	-5.369756E-2	-1.217387E-1	-7.225982E-1	-2.911160E-3	6.546767E-1	1.888960E+2	-4.052757E-1	2.638937E-2	-5.383233E-2	-7.316843E-1	-2.907371E-3	6.515864E-1	1.890213E+2
-4.053118E-1	-5.419864E-2	-1.231014E-1	-7.347822E-1	-2.866728E-3	6.660311E-1	1.903615E+2	-4.053686E-1	2.634678E-2	-5.531119E-2	-7.443242E-1	-2.862051E-3	6.627913E-1	1.905153E+2
-4.053080E-1	-5.467005E-2	-1.251401E-1	-7.520957E-1	-2.802945E-3	6.817634E-1	1.924517E+2	-4.053327E-1	2.624409E-2	-5.738021E-2	-7.619240E-1	-2.798906E-3	6.784697E-1	1.925835E+2
-4.053669E-1	-5.509001E-2	-1.273639E-1	-7.710805E-1	-2.737220E-3	6.989730E-1	1.945893E+2	-4.053637E-1	2.614685E-2	-5.966405E-2	-7.813917E-1	-2.732537E-3	6.957265E-1	1.947409E+2
-4.053696E-1	-5.567171E-2	-1.296553E-1	-7.912493E-1	-2.666830E-3	7.174114E-1	1.968607E+2	-4.053467E-1	2.610592E-2	-6.210897E-2	-8.018829E-1	-2.662856E-3	7.138318E-1	1.969885E+2
-4.052818E-1	-5.604416E-2	-1.319516E-1	-8.109201E-1	-2.599574E-3	7.351918E-1	1.990144E+2	-4.052803E-1	2.590487E-2	-6.442537E-2	-8.218709E-1	-2.593689E-3	7.317170E-1	1.992021E+2
-4.053296E-1	-5.684218E-2	-1.352305E-1	-8.402466E-1	-2.493878E-3	7.620424E-1	2.023670E+2	-4.053410E-1	2.580847E-2	-6.799247E-2	-8.518091E-1	-2.489171E-3	7.581991E-1	2.025155E+2
-4.052878E-1	-5.793872E-2	-1.406687E-1	-8.887849E-1	-2.329981E-3	8.062734E-1	2.074921E+2	-4.052903E-1	2.548308E-2	-7.386877E-2	-9.015906E-1	-2.324465E-3	8.024983E-1	2.076631E+2
-4.051988E-1	-5.887690E-2	-1.459339E-1	-9.368002E-1	-2.169085E-3	8.500111E-1	2.124411E+2	-4.051756E-1	2.498968E-2	-7.959915E-2	-9.505080E-1	-2.162443E-3	8.461868E-1	2.126437E+2
-4.052800E-1	-6.005888E-2	-1.523627E-1	-9.967385E-1	-1.962871E-3	9.048303E-1	2.186724E+2	-4.052759E-1	2.460828E-2	-8.681883E-2	-1.011540E+0	-1.955261E-3	9.004197E-1	2.189000E+2
-4.051316E-1	-6.205378E-2	-1.624966E-1	-1.095325E+0	-1.660399E-3	9.952276E-1	2.276030E+2	-4.051299E-1	2.370761E-2	-9.863948E-2	-1.112163E+0	-1.654145E-3	9.901339E-1	2.277852E+2
-4.052002E-1	-6.352283E-2	-1.708962E-1	-1.180059E+0	-1.397516E-3	1.073035E+0	2.351794E+2	-4.051675E-1	2.295906E-2	-1.086299E-1	-1.197912E+0	-1.390778E-3	1.066680E+0	2.353715E+2
-4.051578E-1	-6.461007E-2	-1.788504E-1	-1.264079E+0	-1.138992E-3	1.150129E+0	2.424763E+2	-4.051441E-1	2.243220E-2	-1.186073E-1	-1.283828E+0	-1.131685E-3	1.143098E+0	2.426804E+2
-4.051329E-1	-6.564740E-2	-1.857730E-1	-1.340881E+0	-9.043287E-4	1.222286E+0	2.489772E+2	-4.051206E-1	2.137102E-2	-1.274752E-1	-1.361317E+0	-8.982711E-4	1.212709E+0	2.491436E+2
-4.050794E-1	-6.676053E-2	-1.919414E-1	-1.412880E+0	-6.869971E-4	1.287950E+0	2.549010E+2	-4.050843E-1	2.052164E-2	-1.357930E-1	-1.434485E+0	-6.815052E-4	1.278377E+0	2.550495E+2
-4.050711E-1	-6.747895E-2	-1.979742E-1	-1.488002E+0	-4.441165E-4	1.357748E+0	2.614175E+2	-4.050815E-1	1.950798E-2	-1.444227E-1	-1.511198E+0	-4.381146E-4	1.347496E+0	2.615772E+2
-4.050324E-1	-6.780676E-2	-2.031684E-1	-1.558304E+0	-2.087864E-4	1.423138E+0	2.676334E+2	-4.050206E-1	1.812706E-2	-1.523661E-1	-1.582623E+0	-2.012759E-4	1.412271E+0	2.678302E+2
-4.049112E-1	-6.766801E-2	-2.072786E-1	-1.623641E+0	3.389104E-5	1.484172E+0	2.739481E+2	-4.049005E-1	1.631817E-2	-1.595899E-1	-1.647438E+0	3.989295E-5	1.471673E+0	2.741031E+2
-4.049434E-1	-6.668109E-2	-2.095698E-1	-1.674172E+0	2.653174E-4	1.531348E+0	2.798850E+2	-4.049285E-1	1.389665E-2	-1.653530E-1	-1.697176E+0	2.715890E-4	1.518021E+0	2.800448E+2
-4.050397E-1	-6.399687E-2	-2.092429E-1	-1.706357E+0	5.218076E-4	1.560992E+0	2.863733E+2	-4.050062E-1	1.001138E-2	-1.695195E-1	-1.726665E+0	5.276620E-4	1.547103E+0	2.865203E+2
-4.049886E-1	-5.926718E-2	-2.047585E-1	-1.698801E+0	7.608269E-4	1.553206E+0	2.923376E+2	-4.050192E-1	5.298588E-3	-1.701172E-1	-1.715115E+0	7.659343E-4	1.539562E+0	2.924642E+2
-4.050612E-1	-5.558146E-2	-2.002700E-1	-1.675080E+0	8.930694E-4	1.530104E+0	2.956049E+2	-4.050753E-1	2.375836E-3	-1.688085E-1	-1.687981E+0	9.006818E-4	1.516595E+0	2.957923E+2
-4.050813E-1	-5.145499E-2	-1.946789E-1	-1.638557E+0	1.012293E-3	1.494992E+0	2.985314E+2	-4.050924E-1	-3.328383E-4	-1.663829E-1	-1.648412E+0	1.019444E-3	1.482072E+0	2.987064E+2
-4.051092E-1	-4.574520E-2	-1.860629E-1	-1.575616E+0	1.160163E-3	1.434781E+0	3.021366E+2	-4.050900E-1	-3.451388E-3	-1.618000E-1	-1.581711E+0	1.165580E-3	1.422970E+0	3.022681E+2
-4.051253E-1	-4.020616E-2	-1.766448E-1	-1.502429E+0	1.286509E-3	1.365412E+0	3.051959E+2	-4.051189E-1	-5.925639E-3	-1.560956E-1	-1.504951E+0	1.292484E-3	1.354331E+0	3.053401E+2
-4.052183E-1	-3.364857E-2	-1.639557E-1	-1.400440E+0	1.436898E-3	1.269342E+0	3.088130E+2	-4.052370E-1	-8.278315E-3	-1.477479E-1	-1.399799E+0	1.442882E-3	1.259743E+0	3.089563E+2
-4.053179E-1	-2.732429E-2	-1.493563E-1	-1.282150E+0	1.585441E-3	1.159432E+0	3.123602E+2	-4.052856E-1	-9.962918E-3	-1.373689E-1	-1.278068E+0	1.591736E-3	1.149944E+0	3.125100E+2
-4.053147E-1	-2.242426E-2	-1.356828E-1	-1.171770E+0	1.711914E-3	1.057686E+0	3.153610E+2	-4.053057E-1	-1.097540E-2	-1.269703E-1	-1.164434E+0	1.720363E-3	1.047648E+0	3.155609E+2
-4.053594E-1	-1.879560E-2	-1.239393E-1	-1.077551E+0	1.815479E-3	9.716679E-1	3.178054E+2	-4.053440E-1	-1.129831E-2	-1.182038E-1	-1.072889E+0	1.820626E-3	9.652056E-1	3.179265E+2
-4.053815E-1	-1.457028E-2	-1.078783E-1	-9.486093E-1	1.968395E-3	8.547022E-1	3.213937E+2	-4.053849E-1	-1.136750E-2	-1.053843E-1	-9.450986E-1	1.971807E-3	8.504857E-1	3.214734E+2
-4.055133E-1	-1.211940E-2	-9.681461E-2	-8.593168E-1	2.083086E-3	7.740350E-1	3.240690E+2	-4.055102E-1	-1.113420E-2	-9.605938E-2	-8.554687E-1	2.088158E-3	7.699631E-1	3.241870E+2
-4.057537E-1	-9.132639E-3	-8.128679E-2	-7.323794E-1	2.242218E-3	6.599008E-1	3.277591E+2	-4.057461E-1	-1.050472E-2	-8.264853E-2	-7.298684E-1	2.244725E-3	6.573859E-1	3.278170E+2
-4.056991E-1	-7.829035E-3	-7.355206E-2	-6.680035E-1	2.349277E-3	6.019759E-1	3.302275E+2	-4.056924E-1	-1.004468E-2	-7.567524E-2	-6.658589E-1	2.351425E-3	5.999252E-1	3.302769E+2
-4.056157E-1	-6.867087E-3	-6.740091E-2	-6.160078E-1	2.447455E-3	5.551302E-1	3.324815E+2	-4.056266E-1	-9.609918E-3	-6.998781E-2	-6.138554E-1	2.451108E-3	5.531237E-1	3.325651E+2
-4.056772E-1	-5.754327E-3	-5.971710E-2	-5.497912E-1	2.576514E-3	4.954423E-1	3.354304E+2	-4.056774E-1	-8.945066E-3	-6.265318E-2	-5.472757E-1	2.579709E-3	4.932245E-1	3.355032E+2
